store,date,avg_diff,avg_g,total_diff,note
エスパス秋葉原駅前店 ,6/6(⾦),-49,5596,-25534,Lパチスロ⾰命機ヴァルヴレイヴ
エスパス秋葉原駅前店 ,6/5(⽊),-113,2432,-58901,"6/4(⽔) -183 3,569 -95,462 スマスロ シャーマンキング"
エスパス秋葉原駅前店 ,6/3(⽕),157,2703,81546,"6/2(⽉) -60 3,579 -31,418"
エスパス秋葉原駅前店 ,6/1(⽇),230,5028,119763,スロット ゾンビランドサガ
エスパス秋葉原駅前店 ,5/31(⼟),167,5782,86915,スマスロ ゴッドイーター リザレクション
エスパス秋葉原駅前店 ,5/30(⾦),-96,3906,-50227,"5/29(⽊) -53 3,395 -27,762"
エスパス秋葉原駅前店 ,5/28(⽔),172,3248,89535,ひぐらしのなく頃に祭2
エスパス秋葉原駅前店 ,5/27(⽕),-108,2984,-56071,ToLOVEるダークネス TRANCE ver.8.7
エスパス秋葉原駅前店 ,5/26(⽉),62,3896,32530,ToLOVEるダークネス TRANCE ver.8.7
エスパス秋葉原駅前店 ,5/25(⽇),583,5024,303046,スマスロ ゴッドイーター リザレクション
エスパス秋葉原駅前店 ,5/24(⼟),110,5302,57131,スマスロ ゴッドイーター リザレクション
エスパス秋葉原駅前店 ,5/23(⾦),150,4645,78031,Lソードアート・オンライン
エスパス秋葉原駅前店 ,5/22(⽊),244,3001,126945,緑ドン VIVA!情熱南⽶編 REVIVAL
エスパス秋葉原駅前店 ,5/21(⽔),56,2973,29351,吉宗
エスパス秋葉原駅前店 ,5/20(⽕),-139,3695,-72528,L 真・⼀騎当千
エスパス秋葉原駅前店 ,5/19(⽉),-109,3599,-56978,Lパチスロ⾰命機ヴァルヴレイヴ
エスパス秋葉原駅前店 ,5/18(⽇),541,5212,281232,Lパチスロガールズ＆パンツァー 最終章
エスパス秋葉原駅前店 ,5/17(⼟),-166,4615,-86189,"5/16(⾦) +159 4,318 +82,745"
エスパス秋葉原駅前店 ,5/15(⽊),230,4131,119446,スロット ゾンビランドサガ
エスパス秋葉原駅前店 ,5/14(⽔),208,4486,108325,マクロスデルタ
エスパス秋葉原駅前店 ,5/13(⽕),-14,2545,-7290,A-SLOT+ ディスクアップ ULTRAREMIX
エスパス秋葉原駅前店 ,5/12(⽉),36,3330,18796,マクロスデルタ
エスパス秋葉原駅前店 ,5/11(⽇),-313,4502,-162588,Lパチスロ ありふれた職業で世界最強
エスパス秋葉原駅前店 ,5/10(⼟),225,4826,117073,スロット ゾンビランドサガ
エスパス秋葉原駅前店 ,5/9(⾦),587,4715,304971,スマスロ 七つの魔剣が⽀配する
エスパス秋葉原駅前店 ,5/8(⽊),-104,3165,-54090,吉宗
エスパス秋葉原駅前店 ,5/7(⽔),55,3735,28847,吉宗
エスパス秋葉原駅前店 ,5/6(⽕),-157,4986,-81569,Lゴジラ
